"","Institution","InstitutionLabel","AffiliationTypeLabel","Rechtsform","RechtsformLabel","Konsortium","KonsortiumLabel","Stadt","StadtLabel","Bundesland","BundeslandLabel"
"1","http://www.wikidata.org/entity/Q627474","Computer-Anwendungen und Quantitative Methoden in der Archäologie e.V.","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q9299236","eingetragener Verein",NA,NA,NA,NA,NA,NA
"2","http://www.wikidata.org/entity/Q627474","Computer-Anwendungen und Quantitative Methoden in der Archäologie e.V.","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q16334295","Gruppe von Menschen",NA,NA,NA,NA,NA,NA
"3","http://www.wikidata.org/entity/Q1355604","DMT-Gesellschaft für Lehre und Bildung","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q163740","Non-Profit-Organisation",NA,NA,NA,NA,NA,NA
"4","http://www.wikidata.org/entity/Q1156824","Dachverband Deutscher Avifaunisten","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q748019","Wissenschaftliche Gesellschaft",NA,NA,NA,NA,NA,NA
"5","http://www.wikidata.org/entity/Q61705390","Deutsches Netzwerk für Bioinformatik Infrastruktur","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q79913","Nichtregierungsorganisation",NA,NA,NA,NA,NA,NA
"6","http://www.wikidata.org/entity/Q61705390","Deutsches Netzwerk für Bioinformatik Infrastruktur","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q1664720","Institut",NA,NA,NA,NA,NA,NA
"7","http://www.wikidata.org/entity/Q1262605","Duale Hochschule Baden-Württemberg","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q1262595","Duale Hochschule",NA,NA,NA,NA,NA,NA
"8","http://www.wikidata.org/entity/Q1262605","Duale Hochschule Baden-Württemberg","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q1365560","Fachhochschule (Deutschland)",NA,NA,NA,NA,NA,NA
"9","http://www.wikidata.org/entity/Q1262605","Duale Hochschule Baden-Württemberg","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q23002037","öffentliche Bildungseinrichtung",NA,NA,NA,NA,NA,NA
"10","http://www.wikidata.org/entity/Q74435184","EXARC","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q45400320","Open-Access-Herausgeber",NA,NA,NA,NA,NA,NA
"11","http://www.wikidata.org/entity/Q74435184","EXARC","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q43229","Organisation",NA,NA,NA,NA,NA,NA
"12","http://www.wikidata.org/entity/Q136094457","Geistes- und Kulturwissenschaftliche Forschungsinfrastrukturen (GKFI) e.V.","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q15177651","Verein",NA,NA,NA,NA,NA,NA
"13","http://www.wikidata.org/entity/Q116959508","German BioImaging – Gesellschaft für Mikroskopie und Bildanalyse (Q","NFDI-Vereinsmitglied","http://www.wikidata.org/entity/Q163740","Non-Profit-Organisation",NA,NA,NA,NA,NA,NA
